dataset,n_train,model,steps,failed,err_max,err_p95,eps,PASS
MSFT,15,MLP,50000,False,0.11232778349854552,0.08359742291461392,0.0015740858807871839,False
MSFT,50,pCHA,50000,False,0.00018060342926225098,7.65159702611795e-05,0.0015740858807871839,True
MSFT,50,Persistence,50000,False,0.00076232941558096,0.0003782677582218716,0.0015740858807871839,True
MSFT,50,ESN,50000,False,0.11169859982073238,0.08315589298603888,0.0015740858807871839,False
MSFT,50,NVAR,72,True,498.4026945786265,0.07105851084483697,0.0015740858807871839,False
MSFT,50,SINDy,50000,False,0.037348118416751244,0.0024375022481333904,0.0015740858807871839,False
MSFT,50,EDMD,13409,True,432.3030404301001,0.0931030012935779,0.0015740858807871839,False
MSFT,50,LinearStateMap,50000,False,1.5093210435004405,0.7730079406567205,0.0015740858807871839,False
MSFT,50,MLP,50000,False,0.1124900522124863,0.08341241232232045,0.0015740858807871839,False
MSFT,100,pCHA,50000,False,0.00018060342926225456,7.667135630205717e-05,0.0015740858807871839,True
MSFT,100,Persistence,50000,False,0.0007623294155809732,0.0003782677582218715,0.0015740858807871839,True
MSFT,100,ESN,50000,False,0.11153368696130404,0.0822469790936837,0.0015740858807871839,False
MSFT,100,NVAR,189,True,7.529638998397053,0.005974566268826589,0.0015740858807871839,False
MSFT,100,SINDy,50000,False,0.037023812038464894,0.0021141285577660576,0.0015740858807871839,False
MSFT,100,EDMD,13449,True,851.4048513694846,0.10405029376200872,0.0015740858807871839,False
MSFT,100,LinearStateMap,50000,False,1.7650187521108591,0.6957332377588246,0.0015740858807871839,False
MSFT,100,MLP,50000,False,0.11274777263623967,0.08317235483998554,0.0015740858807871839,False
MSFT,200,pCHA,50000,False,0.00018060342926225456,7.670756886830767e-05,0.0015740858807871839,True
MSFT,200,Persistence,50000,False,0.0007623294155809665,0.0003782677582218715,0.0015740858807871839,True
MSFT,200,ESN,50000,False,0.11036823419911326,0.07935425826965523,0.0015740858807871839,False
MSFT,200,NVAR,661,True,42.40572801663596,0.0009526993376717895,0.0015740858807871839,False
MSFT,200,SINDy,50000,False,0.03344634337391239,0.002091870158922074,0.0015740858807871839,False
MSFT,200,EDMD,13524,True,1642.4992522712885,0.11793836928430305,0.0015740858807871839,False
MSFT,200,LinearStateMap,50000,False,0.16089395925144845,0.05885454289160253,0.0015740858807871839,False
MSFT,200,MLP,50000,False,0.11323498969536983,0.08271996689992851,0.0015740858807871839,False
GOOGL,15,pCHA,50000,False,0.00013867694640192532,5.94030504945265e-05,0.001665948435724925,True
GOOGL,15,Persistence,50000,False,0.00048539530535280967,0.00023463025965521136,0.001665948435724925,True
GOOGL,15,ESN,50000,False,0.07460309118517745,0.06671672952776761,0.001665948435724925,False
GOOGL,15,NVAR,23,True,60.61400102370191,0.16230765373655395,0.001665948435724925,False
GOOGL,15,SINDy,50000,False,0.04308620413751738,0.013432262788136074,0.001665948435724925,False
GOOGL,15,EDMD,50000,False,1.905428673688847,0.06402371859735884,0.001665948435724925,False
GOOGL,15,LinearStateMap,50000,False,6.20222343007692,3.505666450687589,0.001665948435724925,False
GOOGL,15,MLP,50000,False,0.07462380149092493,0.06673325459664324,0.001665948435724925,False
GOOGL,50,pCHA,50000,False,0.00013867694640192548,5.943432562588442e-05,0.001665948435724925,True
GOOGL,50,Persistence,50000,False,0.0004853953053528139,0.00023463025965521158,0.001665948435724925,True
GOOGL,50,ESN,50000,False,0.07445474460580205,0.06663451816297804,0.001665948435724925,False
GOOGL,50,NVAR,72,True,46.55777125048236,0.03405989112740157,0.001665948435724925,False
GOOGL,50,SINDy,50000,False,0.00931891462760466,0.003042198919162705,0.001665948435724925,False
GOOGL,50,EDMD,16514,True,391.2471850735198,0.6193497353626006,0.001665948435724925,False
GOOGL,50,LinearStateMap,50000,False,0.3286443484679699,0.21339657951187285,0.001665948435724925,False
GOOGL,50,MLP,50000,False,0.07456758705324977,0.0668148779130948,0.001665948435724925,False
GOOGL,100,pCHA,50000,False,0.00013867694640192532,5.950334645029961e-05,0.001665948435724925,True
GOOGL,100,Persistence,50000,False,0.00048539530535280707,0.00023463025965521147,0.001665948435724925,True
GOOGL,100,ESN,50000,False,0.07400531210814557,0.06606411810142765,0.001665948435724925,False
GOOGL,100,NVAR,189,True,67.50117838930285,0.0021361341637871106,0.001665948435724925,False
GOOGL,100,SINDy,50000,False,0.008789443608258549,0.0021329649857344886,0.001665948435724925,False
GOOGL,100,EDMD,16389,True,751.9239230717575,0.8485430175114038,0.001665948435724925,False
GOOGL,100,LinearStateMap,50000,False,0.6671736244388902,0.4036929875449296,0.001665948435724925,False
GOOGL,100,MLP,50000,False,0.0744459634440063,0.06688832340733143,0.001665948435724925,False
GOOGL,200,pCHA,50000,False,0.0001386769464019268,5.9705352837496117e-05,0.001665948435724925,True
GOOGL,200,Persistence,50000,False,0.0004853953053528118,0.00023463025965521144,0.001665948435724925,True
GOOGL,200,ESN,50000,False,0.07153514114152196,0.06282767900961722,0.001665948435724925,False
GOOGL,200,NVAR,822,True,409.54411277660245,0.002246654854340646,0.001665948435724925,False
GOOGL,200,SINDy,50000,False,0.008759350774574818,0.002344524772273989,0.001665948435724925,False
GOOGL,200,EDMD,16264,True,1369.7512823635645,0.19723528236858429,0.001665948435724925,False
GOOGL,200,LinearStateMap,50000,False,0.19931667528229624,0.0992502999727026,0.001665948435724925,False
GOOGL,200,MLP,50000,False,0.07403681902199463,0.06685117223302588,0.001665948435724925,False
SPY,15,pCHA,50000,False,7.998427043766293e-05,4.1313415569728785e-05,0.0010275411529255991,True
SPY,15,Persistence,50000,False,0.00026412815634838793,0.0001637587538067373,0.0010275411529255991,True
SPY,15,ESN,50000,False,0.047176758539023166,0.038388759453624764,0.0010275411529255991,False
SPY,15,NVAR,22,True,17.859708637002402,0.24128524472128116,0.0010275411529255991,False
SPY,15,SINDy,50000,False,0.2506285124938769,0.05783299242106943,0.0010275411529255991,False
SPY,15,EDMD,50000,False,0.07503350763884893,0.04543013057336036,0.0010275411529255991,False
SPY,15,LinearStateMap,50000,False,2.75059545004019,1.9594629994985624,0.0010275411529255991,False
SPY,15,MLP,50000,False,0.047174759844696275,0.03839447646020137,0.0010275411529255991,False
SPY,50,pCHA,50000,False,7.998427043766219e-05,4.138173944049361e-05,0.0010275411529255991,True
SPY,50,Persistence,50000,False,0.0002641281563483869,0.0001637587538067373,0.0010275411529255991,True
SPY,50,ESN,50000,False,0.04712977700025537,0.038378951356428104,0.0010275411529255991,False
SPY,50,NVAR,79,True,210.209121178154,0.008223688400006268,0.0010275411529255991,False
SPY,50,SINDy,50000,False,0.029566189442101494,0.007870060361400165,0.0010275411529255991,False
SPY,50,EDMD,50000,False,0.04182318580937018,0.03076185886232923,0.0010275411529255991,False
SPY,50,LinearStateMap,50000,False,0.3424148361060558,0.25160579588472753,0.0010275411529255991,False
SPY,50,MLP,50000,False,0.04719909758021808,0.038405261028641835,0.0010275411529255991,False
SPY,100,pCHA,50000,False,7.998427043766373e-05,4.145903763330149e-05,0.0010275411529255991,True
SPY,100,Persistence,50000,False,0.00026412815634838793,0.0001637587538067373,0.0010275411529255991,True
SPY,100,ESN,50000,False,0.04706298338698895,0.03814598904536422,0.0010275411529255991,False
SPY,100,NVAR,267,True,148.0449973037115,0.011738839282075326,0.0010275411529255991,False
SPY,100,SINDy,50000,False,0.015870989786765922,0.009407719394825856,0.0010275411529255991,False
SPY,100,EDMD,1884,True,466.75234270035673,1.8945922994070246,0.0010275411529255991,False
SPY,100,LinearStateMap,50000,False,0.5388345436933972,0.3066075276801083,0.0010275411529255991,False
SPY,100,MLP,50000,False,0.047240146190295464,0.038415179337088316,0.0010275411529255991,False
SPY,200,pCHA,50000,False,7.998427043766144e-05,4.1672920736152384e-05,0.0010275411529255991,True
SPY,200,Persistence,50000,False,0.0002641281563483869,0.0001637587538067373,0.0010275411529255991,True
SPY,200,ESN,50000,False,0.04699606983177987,0.03803884101106029,0.0010275411529255991,False
SPY,200,NVAR,326,True,98.48715515221977,0.005318906359876102,0.0010275411529255991,False
SPY,200,SINDy,1884,True,856.5086836977216,0.2828527327425933,0.0010275411529255991,False
SPY,200,EDMD,1019,True,795.7324239487107,2.0816485835144607,0.0010275411529255991,False
SPY,200,LinearStateMap,50000,False,0.06682258673455427,0.0342556158997341,0.0010275411529255991,False
SPY,200,MLP,50000,False,0.04729743398938622,0.038371651172826884,0.0010275411529255991,False
ECG_n200,15,pCHA,50000,False,6.247277960239912e-05,2.637524535154938e-05,0.01761229089555444,True
ECG_n200,15,Persistence,26880,True,0.00027687009335665885,0.00017913262811756526,0.01761229089555444,False
ECG_n200,15,ESN,26880,True,0.11385786306977587,0.0678486755016725,0.01761229089555444,False
ECG_n200,15,NVAR,22,True,0.0042572124572402125,0.00013609108576936754,0.01761229089555444,False
ECG_n200,15,SINDy,2234,True,0.06222636208688558,5.991703720737491e-05,0.01761229089555444,False
ECG_n200,15,EDMD,1604,True,0.16121985424066082,0.0018419891130219924,0.01761229089555444,False
ECG_n200,15,LinearStateMap,5284,True,0.17443597822002027,0.054830084377876655,0.01761229089555444,False
ECG_n200,15,MLP,26880,True,0.11385780173671739,0.06784865972501788,0.01761229089555444,False
ECG_n200,50,pCHA,50000,False,6.247277960239912e-05,2.6375245351529702e-05,0.01761229089555444,True
ECG_n200,50,Persistence,50000,False,0.00027687009335665885,0.0001633976794544779,0.01761229089555444,True
ECG_n200,50,ESN,50000,False,0.2615129655389684,0.25328986631130973,0.01761229089555444,False
ECG_n200,50,NVAR,72,True,0.0454746480735425,3.3227615385704565e-05,0.01761229089555444,False
ECG_n200,50,SINDy,3179,True,0.254719421434059,0.00012956568365002838,0.01761229089555444,False
ECG_n200,50,EDMD,1404,True,0.5262363446255772,0.0004439132358386929,0.01761229089555444,False
ECG_n200,50,LinearStateMap,50000,False,0.26771080820433885,0.24805906103045808,0.01761229089555444,False
ECG_n200,50,MLP,50000,False,0.2615129791905824,0.2532899644996591,0.01761229089555444,False
ECG_n200,100,pCHA,50000,False,6.247277960239912e-05,2.637524535154938e-05,0.01761229089555444,True
ECG_n200,100,Persistence,50000,False,0.00027687009335665885,0.0001633976794544779,0.01761229089555444,True
ECG_n200,100,ESN,50000,False,0.2615129387879081,0.2532898745359732,0.01761229089555444,False
ECG_n200,100,NVAR,186,True,0.012177653717798028,4.962442965699976e-06,0.01761229089555444,False
